SpireID,Dept,Number,Days,StartTime,EndTime,Associated,SectionNum,PrimaryClass,Instructor,CourseName,GenEd,MinCredit,MaxCredit
"","","","","","","","","false","","","","",""
"36175","Accounting","ACCOUNTG  196H","","1:00:00AM","1:00:00AM","","01","true","","Hnr Indstu In Acctg","","1.00","6.00"
"36133","Accounting","ACCOUNTG  221","TUTH","2:30:00PM","3:45:00PM","","A","true","","Intro To Acctg I","","3.00","3.00"
"36134","Accounting","ACCOUNTG  221","M","12:20:00PM","1:10:00PM","","AL01","false","","Intro To Acctg I","","3.00","3.00"
"36135","Accounting","ACCOUNTG  221","M","1:25:00PM","2:15:00PM","","AL02","false","","Intro To Acctg I","","3.00","3.00"
"36136","Accounting","ACCOUNTG  221","M","12:20:00PM","1:10:00PM","","AL03","false","","Intro To Acctg I","","3.00","3.00"
"36137","Accounting","ACCOUNTG  221","M","1:25:00PM","2:15:00PM","","AL04","false","","Intro To Acctg I","","3.00","3.00"
"36138","Accounting","ACCOUNTG  221","M","12:20:00PM","1:10:00PM","","AL05","false","","Intro To Acctg I","","3.00","3.00"
"36139","Accounting","ACCOUNTG  221","M","1:25:00PM","2:15:00PM","","AL06","false","","Intro To Acctg I","","3.00","3.00"
"36140","Accounting","ACCOUNTG  221","M","3:35:00PM","4:25:00PM","","AL07","false","","Intro To Acctg I","","3.00","3.00"
"36141","Accounting","ACCOUNTG  221","W","4:40:00PM","5:30:00PM","","AL08","false","","Intro To Acctg I","","3.00","3.00"
"36142","Accounting","ACCOUNTG  221","M","3:35:00PM","4:25:00PM","","AL09","false","","Intro To Acctg I","","3.00","3.00"
"36143","Accounting","ACCOUNTG  221","W","4:40:00PM","5:30:00PM","","AL10","false","","Intro To Acctg I","","3.00","3.00"
"36144","Accounting","ACCOUNTG  221","TU","4:00:00PM","4:50:00PM","","AL11","false","","Intro To Acctg I","","3.00","3.00"
"36145","Accounting","ACCOUNTG  221","TU","5:05:00PM","5:55:00PM","","AL12","false","","Intro To Acctg I","","3.00","3.00"
"36146","Accounting","ACCOUNTG  221","TU","4:00:00PM","4:50:00PM","","AL13","false","","Intro To Acctg I","","3.00","3.00"
"36147","Accounting","ACCOUNTG  221","TU","4:00:00PM","4:50:00PM","","AL14","false","","Intro To Acctg I","","3.00","3.00"
"36148","Accounting","ACCOUNTG  221","TU","4:00:00PM","4:50:00PM","","AL15","false","","Intro To Acctg I","","3.00","3.00"
"36149","Accounting","ACCOUNTG  221","TU","5:05:00PM","5:55:00PM","","AL16","false","","Intro To Acctg I","","3.00","3.00"
"36150","Accounting","ACCOUNTG  221","W","9:05:00AM","9:55:00AM","","AL17","false","","Intro To Acctg I","","3.00","3.00"
"36151","Accounting","ACCOUNTG  221","W","10:10:00AM","11:00:00AM","","AL18","false","","Intro To Acctg I","","3.00","3.00"
"36152","Accounting","ACCOUNTG  221","W","9:05:00AM","9:55:00AM","","AL19","false","","Intro To Acctg I","","3.00","3.00"
"36153","Accounting","ACCOUNTG  221","W","11:15:00AM","12:05:00PM","","AL20","false","","Intro To Acctg I","","3.00","3.00"
