SpireID, Dept, Number, Days, StartTime, EndTime, Associated, SectionNum, PrimaryClass, Instructor, CourseName, GenEd
"","","","","","","","","false","","",""
"36175","Accounting","ACCOUNTG  221","","1:00:00AM","1:00:00AM","","","true","","",""
"36133","Accounting","ACCOUNTG  221","","2:30:00PM","3:45:00PM","","","true","","",""
"36134","Accounting","ACCOUNTG  221","","","","","","false","","",""
"36135","Accounting","ACCOUNTG  221","","1:25:00PM","2:15:00PM","","","false","","",""
"36136","Accounting","ACCOUNTG  221","","","","","","false","","",""
"36137","Accounting","ACCOUNTG  221","","1:25:00PM","2:15:00PM","","","false","","",""
"36138","Accounting","ACCOUNTG  221","","","","","","false","","",""
"36139","Accounting","ACCOUNTG  221","","1:25:00PM","2:15:00PM","","","false","","",""
"36140","Accounting","ACCOUNTG  221","","3:35:00PM","4:25:00PM","","","false","","",""
"36141","Accounting","ACCOUNTG  221","","4:40:00PM","5:30:00PM","","","false","","",""
"36142","Accounting","ACCOUNTG  221","","3:35:00PM","4:25:00PM","","","false","","",""
"36143","Accounting","ACCOUNTG  221","","4:40:00PM","5:30:00PM","","","false","","",""
"36144","Accounting","ACCOUNTG  221","","4:00:00PM","4:50:00PM","","","false","","",""
"36145","Accounting","ACCOUNTG  221","","5:05:00PM","5:55:00PM","","","false","","",""
"36146","Accounting","ACCOUNTG  221","","4:00:00PM","4:50:00PM","","","false","","",""
"36147","Accounting","ACCOUNTG  221","","4:00:00PM","4:50:00PM","","","false","","",""
"36148","Accounting","ACCOUNTG  221","","4:00:00PM","4:50:00PM","","","false","","",""
"36149","Accounting","ACCOUNTG  221","","5:05:00PM","5:55:00PM","","","false","","",""
"36150","Accounting","ACCOUNTG  221","","9:05:00AM","9:55:00AM","","","false","","",""
"36151","Accounting","ACCOUNTG  221","","","","","","false","","",""
"36152","Accounting","ACCOUNTG  221","","9:05:00AM","9:55:00AM","","","false","","",""
"36153","Accounting","ACCOUNTG  221","","","","","","false","","",""
"36171","Accounting","ACCOUNTG  222","","","","","","true","","",""
"36164","Accounting","ACCOUNTG  222","","1:25:00PM","2:15:00PM","","","true","","",""
"36165","Accounting","ACCOUNTG  222","","1:00:00PM","2:15:00PM","","","true","","",""
"36166","Accounting","ACCOUNTG  222","","2:30:00PM","3:45:00PM","","","true","","",""
"36179","Accounting","ACCOUNTG  222","","4:00:00PM","5:15:00PM","","","true","","",""
"36180","Accounting","ACCOUNTG  291H","","","","","","true","","",""
"36132","Accounting","ACCOUNTG  296H","","4:30:00PM","6:30:00PM","","","true","","",""
"36172","Accounting","ACCOUNTG  311","","1:00:00AM","1:00:00AM","","","true","","",""
"36154","Accounting","ACCOUNTG  312","","","","","","true","","",""
"36155","Accounting","ACCOUNTG  321","","9:30:00AM","0:45:00AM","","","true","","",""
"36156","Accounting","ACCOUNTG  321","","","","","","true","","",""
"36157","Accounting","ACCOUNTG  321","","9:30:00AM","0:45:00AM","","","true","","",""
"36129","Accounting","ACCOUNTG  321","","8:40:00AM","9:55:00AM","","","true","","",""
